Timestamp (ms),Smoothed Speed (mm/s)
1630002056236,1086.295167134012
1630002056253,1371.704380838916
1630002056270,1647.9384914806828
1630002056286,1709.498843987892
1630002056303,1599.1751844943035
1630002056320,1616.3274647530152
1630002056336,1773.4028708469639
1630002056353,1788.8183810238593
1630002056370,1833.9026276723755
1630002056386,1858.3990149834715
1630002056403,1919.7462452349396
1630002056420,1857.2397519222009
1630002056436,1913.3242189169302
1630002056453,1951.8050555516736
1630002056470,2148.8507098011705
1630002056486,2137.673802280815
1630002056503,2074.3769055653975
1630002056520,2051.9693120031034
1630002056536,2035.7689254436123
1630002056553,2008.7144985553375
1630002056570,2031.8268919458978
1630002056587,1974.3203640733939
1630002056603,1862.1669640602697
1630002056620,1776.6443046706895
1630002056637,1705.5123521722087
1630002056653,1661.1296763201326
1630002056670,1603.8359456247945
1630002056687,1596.3643277423844
1630002056703,1634.0857829353724
1630002056720,1701.4780966613155
1630002056736,1642.5310802593726
1630002056753,1607.545572146048
1630002056770,1820.1905468697016
1630002056787,1956.9942752623695
1630002056803,2225.0262015975513
1630002056820,2207.698937751715
1630002056837,2301.6263078254965
1630002056853,2395.5519840812867
1630002056870,2471.8726438741087
1630002056887,2429.2219363216473
1630002056903,2329.288719830603
1630002056920,2222.1219126281726
1630002056937,2184.73226226773
1630002056953,2164.4444344189055
1630002056970,2170.6700765018304
1630002056987,2192.7145835237975
1630002057003,2318.623846399504
1630002057020,2440.8297700170565
1630002057037,2514.793705757177
1630002057053,2486.4340185046403
1630002057070,2481.5611148287303
1630002057086,2925.1228781540394
1630002057103,3668.7761730213365
1630002057120,3470.4445342531767
1630002057136,3447.3143231350273
1630002057153,3247.4877169072765
1630002057170,3232.315851267333
1630002057186,3104.073366099021
1630002057203,3065.319004014634
1630002057220,3013.417900676209
1630002057236,2950.3231860849123
1630002057253,2876.593105708687
1630002057270,2855.239014142411
1630002057287,2725.2932264833835
1630002057303,2602.3319977481597
1630002057320,2513.8340566332954
1630002057336,2424.1323185706233
1630002057353,2349.7071150695547
1630002057370,2243.551879581265
1630002057387,2127.0710667381823
1630002057403,2068.215530064423
1630002057420,1984.8743143050165
1630002057436,2248.665986291279
1630002057453,2187.8920012692693
1630002057470,2135.4223355264353
1630002057486,2065.302337353349
1630002057503,2077.9201170479873
1630002057520,2024.2850158496392
1630002057537,2044.9755604058375
1630002057553,1967.8080402232765
1630002057570,1936.1578761836747
1630002057586,1928.8695551412047
1630002057603,1922.6881013595073
1630002057620,1842.813351089097
1630002057636,1842.2055834223295
1630002057653,1831.9419828621571
1630002057670,1757.6708304289582
1630002057686,1683.2131059827386
1630002057703,1635.769617734234
1630002057720,1634.9683827367542
1630002057737,1706.9038384502396
1630002057753,1713.1372260730689
1630002057770,1690.0341972883289
1630002057787,1672.5224906713572
1630002057803,1687.1313652320127
1630002057820,1717.2017145232812
1630002057837,1702.0395301893006
1630002057853,1686.5290624393801
1630002057870,1719.3609217753487
1630002057886,1688.8892054994553
1630002057903,1764.018095913623
1630002057920,1763.9502557305525
1630002057936,1799.114262495258
1630002057953,1743.7293180866602
1630002057970,1816.2935572280185
1630002057987,1745.2696086957933
1630002058003,1699.4502754279813
1630002058020,1654.978842163964
1630002058037,1646.4644965440248
1630002058053,1785.6193627062348
1630002058070,1722.3865295623434
1630002058087,1667.2111542413506
1630002058103,1630.929068070278
1630002058120,1573.9671852476795
1630002058137,1738.613235876791
1630002058153,1678.031507945315
1630002058170,1678.0013478224992
1630002058187,1668.942275831238
1630002058203,1711.8492517542998
1630002058220,1673.97792032394
1630002058237,1660.6756771210592
1630002058253,1616.5642011015102
1630002058270,1608.5162587354039
1630002058291,1614.6883146084574
1630002058303,1629.7054998231984
1630002058320,1658.5701981557827
1630002058341,1721.3363844146234
1630002058353,1737.3254194117214
1630002058370,1725.8106519167627
1630002058387,1659.8889911315769
1630002058403,1632.7171029880494
1630002058420,1575.2236628742805
1630002058437,1610.0473918208827
1630002058453,1568.0785796377675
1630002058470,1542.71750528031
1630002058487,1508.1996335603092
1630002058503,1514.5661867081435
1630002058520,1553.4284068288182
1630002058537,1539.570426352646
1630002058553,1601.6345194640237
1630002058570,1676.3333850187882
1630002058586,1701.3317302997677
1630002058603,1777.50348882023
1630002058620,1807.3510862762841
1630002058637,1906.763503183408
1630002058653,1944.069614912442
1630002058670,1968.5362677597282
1630002058687,2022.2264517245503
1630002058703,1996.7042193123043
1630002058720,1956.9014750204653
1630002058737,2002.2632060313251
1630002058753,1996.309124278805
1630002058770,2095.4404516096142
1630002058787,2106.0020163784234
1630002058803,2090.044773818346
1630002058820,2507.616106687545
1630002058836,2385.4797957480723
1630002058853,2259.2987923220694
1630002058870,2199.3905327935013
1630002058887,2150.0376256250165
1630002058903,2207.487843785107
